OPC-N2 FirmwareVer=OPC-018.1..............................BD
OPC-N2 176430713                                            
Config info:
GSC,1.000
LaserDAC,215
FanDAC,255
ToFtoSFRfactor,74
BinNo,Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15
Boundary(upper),17,27,41,60,79,123,234,388,575,909,1294,1866,2475,3092,3685,4095
ParticleVolume(um3),0.051,0.151,0.401,0.894,1.646,3.209,8.530,22.449,47.713,99.541,199.532,381.703,696.910,1150.347,1767.146,2460.612
ParticleDensity(g/ml),1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650
SampleVolumeWeighting,4.500,3.000,2.000,0.500,0.300,0.250,0.250,0.250,0.350,0.450,0.500,0.800,1.000,1.000,1.000,1.000
DataRequestInterval(s),1.398
MaxDataArraysPerFile,61798
Data:
Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,MToFBin1(us/3),MToFBin3,MToFBin5,MToFBin7,SFR(ml/s),SamplingPeriod(s),PM1(ug/m3),PM2.5,PM10
361,143,44,12,0,2,0,0,0,0,0,1,0,0,0,0,14,18,22,0,5.082,1.387,36.304,43.429,77.653
373,116,40,9,2,1,2,1,0,0,0,0,0,0,0,0,15,21,27,29,5.006,1.387,34.572,41.577,43.165
392,123,31,3,4,2,1,0,0,0,0,0,0,0,0,0,15,20,24,0,4.970,1.387,35.318,41.263,41.685
379,121,37,5,2,0,0,0,0,1,1,0,0,0,0,0,15,21,0,0,4.951,1.383,35.329,41.465,65.275
364,126,30,6,1,0,0,0,0,0,0,0,0,0,0,0,15,19,0,0,4.942,1.387,34.196,39.563,39.639
370,155,22,6,1,0,0,1,0,0,0,0,0,0,0,0,15,22,0,29,4.938,1.387,36.281,41.767,42.804
403,135,38,5,1,1,1,0,1,0,0,0,0,0,0,0,15,21,33,0,4.936,1.387,37.993,44.737,48.307
382,134,46,7,0,0,0,1,0,0,0,0,0,0,0,0,15,20,0,33,4.934,1.387,37.718,44.706,45.766
375,149,39,7,0,0,0,0,0,0,0,0,0,0,0,0,16,20,0,0,4.775,1.387,39.189,45.841,45.926
381,124,38,6,1,1,2,0,0,0,0,0,0,0,0,0,16,22,45,0,4.699,1.383,37.774,44.686,45.336
387,133,33,12,0,0,1,0,0,0,0,0,0,0,0,0,15,21,0,0,4.813,1.387,37.553,44.005,44.350
376,131,48,9,0,0,0,0,0,0,0,0,0,0,0,0,16,20,0,0,4.717,1.387,39.131,46.418,46.522
385,137,47,4,2,1,0,0,0,0,0,0,1,0,0,0,15,20,25,0,4.823,1.387,39.078,46.224,99.419
399,157,38,8,1,0,0,0,0,0,0,0,0,0,0,0,15,19,0,0,4.877,1.387,40.333,47.088,47.185
383,151,47,4,0,1,0,0,2,0,0,0,0,0,0,0,15,18,9,0,4.905,1.387,39.552,47.144,53.708
